17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun
10,0,0,0,0,10,10,0,0,0,0,0
70,10,10,30,10,20,20,20,10,20,40,20
260,170,320,260,210,260,390,260,390,170,320,260
10,10,10,0,10,10,10,10,40,140,210,70
40,30,50,40,40,40,40,40,30,30,50,20
10,10,0,10,10,10,50,90,390,1000,590,110
10,10,10,10,10,10,10,10,10,10,10,10
390,390,260,210,210,260,320,260,320,590,880,720
210,260,320,210,140,140,170,170,210,140,320,720
880,590,590,720,590,720,720,1000,1900,1900,1900,2400
40,20,20,20,20,20,10,10,10,10,30,40
10,10,10,10,10,10,10,10,20,20,20,10
33100,18100,27100,22200,14800,8100,33100,40500,27100,40500,40500,33100
1600,880,590,720,590,720,880,480,480,1300,1600,1300
140,90,110,110,90,90,170,140,110,140,140,110
40,50,30,30,40,30,40,40,10,20,20,30
27100,27100,27100,27100,27100,18100,27100,27100,27100,22200,27100,22200
0,0,10,0,10,0,10,10,10,0,0,0
10,10,10,10,10,10,20,20,10,20,10,10
480,390,480,480,390,390,480,390,480,590,590,480
720,590,720,720,590,590,720,590,590,880,880,720
2400,2400,2400,2400,1900,1900,2900,2900,2400,1900,1900,1600
0,10,0,0,10,10,0,10,0,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
3600,4400,3600,2900,3600,3600,3600,2900,2400,2900,3600,5400
110,50,50,50,70,90,170,260,390,260,170,110
20,20,20,10,20,30,50,50,110,70,50,30
170,170,210,170,170,170,260,210,260,210,260,210
0,10,10,10,10,0,10,0,0,10,10,10
30,20,20,20,20,20,20,20,10,20,30,40
0,0,10,0,0,0,10,10,10,10,0,10
140,110,140,110,140,140,170,170,140,110,110,110
10,10,10,10,10,10,10,10,10,30,30,20
0,10,10,0,10,0,0,0,0,0,0,0
40,30,30,30,30,20,30,10,10,10,30,30
10,10,10,10,10,10,10,10,0,0,0,0
20,10,20,20,20,20,20,30,90,20,20,10
20,10,10,10,0,10,10,10,10,20,20,10
70,90,50,50,40,40,50,70,30,50,90,70
10,10,10,10,0,0,10,0,10,30,20,10
10,10,20,50,40,10,10,10,0,0,0,10
260,260,210,210,210,260,260,260,260,480,590,480
210,210,170,210,210,140,170,170,170,260,210,210
0,0,10,10,10,10,20,10,0,10,0,10
170,210,110,110,140,90,210,210,260,210,210,210
140,140,110,110,110,110,170,140,170,140,170,110
880,720,590,880,880,720,880,590,720,880,1000,880
20,20,10,10,10,10,30,20,40,110,170,70
10,0,10,10,10,20,70,70,210,480,480,170
40,10,0,0,0,10,10,10,10,30,50,90
10,30,30,20,20,30,20,30,20,50,20,30
210,170,320,140,210,140,210,170,390,170,210,170
10,10,10,0,10,0,10,10,10,20,30,10
10,10,10,10,10,10,10,10,30,20,10,20
10,10,10,10,10,10,10,10,10,10,10,10
1600,1600,1600,1600,1300,1000,1000,1000,1600,1600,1600,1300
2900,1900,1600,1600,1300,1000,1900,2400,6600,6600,5400,3600
10,10,0,0,10,0,10,10,0,0,0,0
9900,8100,6600,8100,9900,12100,22200,40500,33100,18100,14800,12100
260,260,260,320,320,260,260,210,260,720,320,390
30,30,20,10,10,10,20,10,10,10,20,30
140,170,140,170,110,110,140,110,140,210,210,170
